metric,value
efectividad.score,0.7550000000000001
efectividad.hit_ratio,1.0
efectividad.success_rate,0.75
efectividad.learning_curve_mean,1.0
efectividad.progression,3
efectividad.success_after_restart,0.0
eficiencia.score,0.7800000000000001
eficiencia.avg_reaction_time_ms,0.0
eficiencia.avg_task_duration_ms,567.214241
eficiencia.time_per_success_s,643060.204
eficiencia.navigation_errors,2
satisfaccion.score,0.44999999999999996
satisfaccion.learning_stability,0.0
satisfaccion.error_reduction_rate,0.0
satisfaccion.voluntary_play_time_s,1285754.283
satisfaccion.aid_usage,0
satisfaccion.interface_errors,0
presencia.score,0.2667807781942948
presencia.activity_level_per_min,0.04879791939356272
presencia.first_success_time_s,11.803
presencia.inactivity_time_s,1286056.4660000002
presencia.audio_performance_gain,0.0
global_score,0.5629451945485737
