metric,value
efectividad.score,0.7200000000000001
efectividad.hit_ratio,1.0
efectividad.success_rate,0.6666666666666666
efectividad.learning_curve_mean,1.0
efectividad.progression,2
efectividad.success_after_restart,0.0
eficiencia.score,0.7800000000000001
eficiencia.avg_reaction_time_ms,0.0
eficiencia.avg_task_duration_ms,592.9654336666666
eficiencia.time_per_success_s,76.963
eficiencia.navigation_errors,2
satisfaccion.score,0.21988333333333335
satisfaccion.learning_stability,0.0
satisfaccion.error_reduction_rate,0.0
satisfaccion.voluntary_play_time_s,4.772
satisfaccion.aid_usage,0
satisfaccion.interface_errors,0
presencia.score,0.5607549019607844
presencia.activity_level_per_min,276.75636344737086
presencia.first_success_time_s,11.803
presencia.inactivity_time_s,110.741
presencia.audio_performance_gain,0.0
global_score,0.5701595588235295
