metric,value
efectividad.score,0.6100000000000001
efectividad.hit_ratio,1.0
efectividad.success_rate,0.3333333333333333
efectividad.learning_curve_mean,1.0
efectividad.progression,1
efectividad.success_after_restart,0.0
eficiencia.score,0.9023416666666667
eficiencia.avg_reaction_time_ms,0.0
eficiencia.avg_task_duration_ms,630.00002
eficiencia.time_per_success_s,26.2975
eficiencia.navigation_errors,1
satisfaccion.score,0.2
satisfaccion.learning_stability,0.0
satisfaccion.error_reduction_rate,0.0
satisfaccion.voluntary_play_time_s,0.0
satisfaccion.aid_usage,0
satisfaccion.interface_errors,0
presencia.score,0.723913725490196
presencia.activity_level_per_min,843.045916912254
presencia.first_success_time_s,16.66
presencia.inactivity_time_s,6.252
presencia.audio_performance_gain,0.0
global_score,0.6090638480392156
