metric,value
efectividad.score,0.6585714285714287
efectividad.hit_ratio,1.0
efectividad.success_rate,0.42857142857142855
efectividad.learning_curve_mean,1.0
efectividad.progression,3
efectividad.success_after_restart,0.0
eficiencia.score,0.8475180000000001
eficiencia.avg_reaction_time_ms,0.0
eficiencia.avg_task_duration_ms,504.8388701666667
eficiencia.time_per_success_s,21.7446
eficiencia.navigation_errors,8
satisfaccion.score,0.2
satisfaccion.learning_stability,0.0
satisfaccion.error_reduction_rate,0.0
satisfaccion.voluntary_play_time_s,0.0
satisfaccion.aid_usage,0
satisfaccion.interface_errors,0
presencia.score,0.5478529411764707
presencia.activity_level_per_min,114.78711956071852
presencia.first_success_time_s,13.119
presencia.inactivity_time_s,61.771
presencia.audio_performance_gain,0.0
global_score,0.5634855924369748
