metric,value
efectividad.score,0.22
efectividad.hit_ratio,0.0
efectividad.success_rate,0.6666666666666666
efectividad.learning_curve_mean,0.0
efectividad.progression,2
efectividad.success_after_restart,0.0
eficiencia.score,0.99
eficiencia.avg_reaction_time_ms,0.0
eficiencia.avg_task_duration_ms,275.8872525
eficiencia.time_per_success_s,0.0
eficiencia.navigation_errors,1
satisfaccion.score,0.2
satisfaccion.learning_stability,0.0
satisfaccion.error_reduction_rate,0.0
satisfaccion.voluntary_play_time_s,0.0
satisfaccion.aid_usage,0
satisfaccion.interface_errors,0
presencia.score,0.8855294117647058
presencia.activity_level_per_min,699.5285040720104
presencia.first_success_time_s,0.0
presencia.inactivity_time_s,6.69
presencia.audio_performance_gain,0.0
global_score,0.5738823529411764
