Reaction time Log Inmersive
Created: 01/12/2025 11:55:20
=====================================

Spawned object 1: ObjetivoRea5
Reaction time: 2,375 seconds

Spawned object 2: ObjetivoRea5
Reaction time: 0,934 seconds

Spawned object 3: ObjetivoRea3
Reaction time: 0,913 seconds

Spawned object 4: ObjetivoRea1
Reaction time: 1,491 seconds

Spawned object 5: ObjetivoRea4
Reaction time: 1,390 seconds

Spawned object 6: ObjetivoRea4
Reaction time: 0,929 seconds

Spawned object 7: ObjetivoRea4
Reaction time: 1,269 seconds

Spawned object 8: ObjetivoRea2
Reaction time: 1,588 seconds

Spawned object 9: ObjetivoRea5
Reaction time: 2,488 seconds

Spawned object 10: ObjetivoRea4
Reaction time: 2,177 seconds

Spawned object 11: ObjetivoRea5
Reaction time: 1,214 seconds

Spawned object 12: ObjetivoRea1
Reaction time: 1,074 seconds

Spawned object 13: ObjetivoRea3
Reaction time: 2,292 seconds

Spawned object 14: ObjetivoRea2
Reaction time: 1,371 seconds

Spawned object 15: ObjetivoRea1
Reaction time: 0,751 seconds

