Reaction time Log Inmersive
Created: 1/7/2026 9:26:42 AM
=====================================

Spawned object 1: ObjetivoRea
Reaction time: 1.357 seconds

Spawned object 2: ObjetivoRea3
Reaction time: 2.896 seconds

Spawned object 3: ObjetivoRea1
Reaction time: 1.276 seconds

Spawned object 4: ObjetivoRea2
Reaction time: 1.494 seconds

Spawned object 5: ObjetivoRea3
Reaction time: 1.511 seconds

Spawned object 6: ObjetivoRea4
Reaction time: 3.550 seconds

Spawned object 7: ObjetivoRea1
Reaction time: 1.190 seconds

Spawned object 8: ObjetivoRea3
Reaction time: 3.788 seconds

Spawned object 9: ObjetivoRea3
Reaction time: 1.943 seconds

Spawned object 10: ObjetivoRea1
Reaction time: 1.362 seconds

Spawned object 11: ObjetivoRea1
Reaction time: 2.801 seconds

Spawned object 12: ObjetivoRea2
Reaction time: 1.660 seconds

Spawned object 13: ObjetivoRea4
Reaction time: 1.278 seconds

Spawned object 14: ObjetivoRea2
Manual despawn

Spawned object 15: ObjetivoRea3
Reaction time: 2.574 seconds

