metric,value
efectividad.score,0.7550000000000001
efectividad.hit_ratio,1.0
efectividad.success_rate,0.75
efectividad.learning_curve_mean,1.0
efectividad.progression,3
efectividad.success_after_restart,0.0
eficiencia.score,0.7247866666666668
eficiencia.avg_reaction_time_ms,0.0
eficiencia.avg_task_duration_ms,808.037424
eficiencia.time_per_success_s,58.564
eficiencia.navigation_errors,8
satisfaccion.score,0.6416499999999999
satisfaccion.learning_stability,1.0
satisfaccion.error_reduction_rate,0.0
satisfaccion.voluntary_play_time_s,33.996
satisfaccion.aid_usage,0
satisfaccion.interface_errors,0
presencia.score,0.4555
presencia.activity_level_per_min,130.25066593811897
presencia.first_success_time_s,22.539
presencia.inactivity_time_s,759.4599999999999
presencia.audio_performance_gain,0.0
global_score,0.6442341666666667
