metric,value
efectividad.score,0.6600000000000001
efectividad.hit_ratio,1.0
efectividad.success_rate,0.5
efectividad.learning_curve_mean,1.0
efectividad.progression,1
efectividad.success_after_restart,0.0
eficiencia.score,0.923505
eficiencia.avg_reaction_time_ms,0.0
eficiencia.avg_task_duration_ms,712.7642505
eficiencia.time_per_success_s,19.9485
eficiencia.navigation_errors,1
satisfaccion.score,0.28432500000000005
satisfaccion.learning_stability,0.0
satisfaccion.error_reduction_rate,0.0
satisfaccion.voluntary_play_time_s,20.238
satisfaccion.aid_usage,0
satisfaccion.interface_errors,0
presencia.score,0.7708529411764705
presencia.activity_level_per_min,825.6259869163096
presencia.first_success_time_s,11.803
presencia.inactivity_time_s,6.425
presencia.audio_performance_gain,0.0
global_score,0.6596707352941177
