metric,value
efectividad.score,0.0
efectividad.hit_ratio,0.0
efectividad.success_rate,0.0
efectividad.learning_curve_mean,0.0
efectividad.progression,0
efectividad.success_after_restart,0.0
eficiencia.score,1.0
eficiencia.avg_reaction_time_ms,0.0
eficiencia.avg_task_duration_ms,0.0
eficiencia.time_per_success_s,0.0
eficiencia.navigation_errors,0
satisfaccion.score,0.2
satisfaccion.learning_stability,0.0
satisfaccion.error_reduction_rate,0.0
satisfaccion.voluntary_play_time_s,0.0
satisfaccion.aid_usage,0
satisfaccion.interface_errors,0
presencia.score,0.8869411764705882
presencia.activity_level_per_min,882.9823955816362
presencia.first_success_time_s,0.0
presencia.inactivity_time_s,6.33
presencia.audio_performance_gain,0.0
global_score,0.5217352941176471
